doc_id,schema,dokument_art,dokument_typ,institution,aktenzeichen,datum,fundstelle,vorinstanz,norm_vorinstanz_aktenzeichen,norm_kuerzel,titel,leitsatz,gruende,rthema,quelle
1536347,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,II-ZR-180/03,2005-03-21,,OLG Braunschweig - 14.5.2003; LG Göttingen -,2-O-516/01,BGB:723/1/2; HGB:234/1/2,Kündigungsrecht des stillen Gesellschafters bei Änderungen der Vertragsbedingungen,,,Handelsrecht Gesellschaftsrecht,Deubner
1559958,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VIII-ZR-244/08,2009-10-21,MDR-2010-0139; NJW-2010-0293; NZM-2010-0080,"LG Krefeld vom 13.08.2008,; AG Nettetal vom 19.03.2008,",17-C-462/07,BGB:157; BGB:812/1/1,"Auslegung des verwendeten Begriffs der ""Mietraumfläche"" in einem formularmäßigen Mietvertrag über Wohnräume","Zur Auslegung des in einem formularmäßigen Mietvertrag über Wohnräume verwendeten Begriffs ""Mietraumfläche"".",,Miete Pacht; BGBAT; Schadensersatz,Deubner
1564367,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,II-ZR-292/06,2010-07-12,BGHZ-0186-0167; DStR-2010-1680,"LG München; OLG München vom 23.11.2006,",I-vom-25/04; 34-O-16095/05,BGB:739,"Anwendung der Lehre von der fehlerhaften Gesellschaft
im Hinblick auf einen Beitritt zu Anlagezwecken einer Gesellschaft
in einer sog. ""Haustürsituation""; Möglichkeit
einer Verpflichtung zur Verlustdeckung auf Grund der auf den Tag
seines Ausscheidens zu erstellenden Auseinandersetzungsbilanz des
widerrufenden Gesellschafters","a) Die Lehre von der fehlerhaften Gesellschaft, die entsprechend den allgemeinen Grundsätzen des Zivilrechts einen vernünftigen Ausgleich und eine gerechte Risikoverteilung zwischen den einzelnen Beteiligten sichern soll, ist mit der Richtlinie 85/577/EWG vereinbar und deswegen auch in Fällen anwendbar, in denen jemand zu Anlagezwecken einer Gesellschaft bürgerlichen Rechts in einer sog. ""Haustürsituation"" beitritt.; b) Das kann zur Folge haben, dass der Widerrufende nicht nur seine Einlage nicht oder nicht vollständig zurück erhält, sondern auf Grund der auf den Tag seines Ausscheidens zu erstellenden Auseinandersetzungsbilanz zur Verlustdeckung nach § 739 BGB verpflichtet ist.",,Handelsrecht Gesellschaftsrecht,Deubner
1660807,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VIII-ZR-44/16,2017-03-29,NJW-2017-2819; NZM-2017-0521,"AG Koblenz vom 06.11.2013,; LG Koblenz vom 22.02.2016,",161-C-1145/13; 2-S-76/15,ZPO:287,"Kündigung einer Wohnung wegen ""Betriebsbedarfs
für eine Hausmeisterwohnung in einem Mehrfamilienhaus - Schadensersatz
wegen vorgetäuschtem Eigenbedarf","a)
Eine Kündigung wegen ""Betriebsbedarfs"" nach § 573 Abs. 1 Satz 1
BGB setzt voraus, dass betriebliche Gründe die Nutzung gerade der
gekündigten Wohnung notwendig machen. Die Wohnung muss deshalb für
die betrieblichen Abläufe nach den Aufgaben der Bedarfsperson von
wesentlicher Bedeutung sein. Dies wird etwa bei einem Angestellten,
dem die Aufgaben eines ""Concierge"" übertragen sind, der Fall sein,
nicht aber bei einem Hausmeister, der mehrere Objekte des Vermieters betreuen
soll und ohnehin bereits in der Nähe eines der Objekte wohnt (im Anschluss
an Senatsurteil vom 23. Mai 2007 -; b)
Zu den Anforderungen an die tatrichterliche Würdigung des Parteivortrags
und des Beweisergebnisses, wenn der nach einer Bedarfskündigung
ausgezogene Mieter Schadensersatz wegen vorgetäuschtem Bedarf im
Hinblick darauf begehrt, dass der Vermieter den zur Grundlage der
Kündigung gemachten behaupteten Bedarf anschließend nicht verwirklicht
hat.",,Schadensersatz; Zivilverfahrensrecht,Deubner
1668283,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VI-ZR-396/16,2018-04-10,GRUR-2018-0648; MDR-2018-0735; VersR-2018-0950; WM-2018-1570; ZIP-2018-1552; NJW-2018-2877,"LG Hamburg vom 13.12.2013,; OLG Hamburg vom 19.07.2016,",324-O-400/13; 7-U-11/14,BGB:823,Anspruch eines Bio-Unternehmens auf Unterlassung der Verbreitung nicht genehmigter Filmaufnahmen über Betriebsinterna (hier: Produktionsbedingungen); Abwägung des von der Presse verfolgten Informationsinteresses der Öffentlichkeit und des Rechts auf Meinungsfreiheit mit den Interessen des betroffenen Öko-Betriebes,"BGB § 823 Ah, § 824; MRK Art. 8 Abs. 1, Art. 10 Abs. 1; a) Maßgeblich für die Ermittlung des Informationsgehalts einer Filmberichterstattung ist der Sinn, den sie nach dem Verständnis eines unvoreingenommenen und verständigen Durchschnittsrezipienten hat. Dabei ist unter Berücksichtigung der Eigengesetzlichkeiten des Übermittlungsmediums auf den Gesamtgehalt der Berichterstattung abzustellen. Das Bild darf in seiner Bedeutung für eine Erweiterung des Aussagegehalts über das gesprochene Wort hinaus nicht überinterpretiert werden. Für eine texterweiternde oder - einengende Sinngebung bedarf es einer deutlich in diese Richtung weisenden besonderen Heraushebung des Bildes als eigenständigen Informationsträgers.; b) Die Verbreitung nicht genehmigter Filmaufnahmen über Betriebsinterna, zu denen auch die Produktionsbedingungen gehören, stellt grundsätzlich einen betriebsbezogenen Eingriff in den eingerichteten und ausgeübten Gewerbebetrieb dar.; c) Die Veröffentlichung rechtswidrig beschaffter oder erlangter Informationen ist vom Schutz der Meinungsfreiheit umfasst.; d) Werden rechtswidrig erlangte Informationen zum Zwecke der Berichterstattung verwertet, kommt es bei der Abwägung des von der Presse verfolgten Informationsinteresses der Öffentlichkeit und ihres Rechts auf Meinungsfreiheit mit den Interessen des Betroffenen maßgeblich auf den Zweck der beanstandeten Äußerung und auf das Mittel an, mit dem der Zweck verfolgt wird.; e) Zur Abwägung in einer Fallgestaltung, in der sich der Publizierende die Informationen nicht selbst durch vorsätzlichen Rechtsbruch verschafft hat, um sie anschließend zu verwerten, sondern aus dem erkannten Rechtsbruch lediglich Nutzen gezogen hat.",,Schadensersatz,Deubner
1572511,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,I-ZR-50/10,2011-03-03,MDR-2011-0792; VersR-2011-1332,"OLG Stuttgart vom 24.02.2010,; LG Stuttgart vom 29.07.2009,",3-U-140/09; 38-O-116/08,HGB:425/1; HGB:435; HGB:452,"Anforderungen an die einem Frachtführer obliegende
sekundäre Darlegungslast im Falle des Verlusts des Tranportguts","Der Frachtführer kommt der ihm obliegenden sekundären
Darlegungslast bei einem Verlust des Transportgutes im Allgemeinen
nicht nach, wenn er nur den Ort des Sendungsverlusts (hier: Flughafen
New York) benennt, ohne Angaben zu den beteiligten Personen, zum
Organisationsablauf des Transports, zu Schadensverhütungsmaßnahmen
und zu etwaigen Nachforschungen zum Verbleib der Sendung zu machen.",,Handelsrecht Gesellschaftsrecht,Deubner
1539706,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,X-ZR-108/03,2005-12-21,FamRZ-2006-0473; NJW-RR-2006-0699; ZEV-2006-0214,SchlHOLG -; LG Kiel -,3-U-95/01; 11-O-165/00,BGB:133; BGB:157,Grundsätze der ergänzenden Vertragsauslegung,,,BGBAT,Deubner
1502948,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VII-ZR-69/99,2000-05-18,BauR-2000-1511; NJW-2000-2587; WM-2000-1803,OLG Düsseldorf; LG Düsseldorf,,HOAI:8; HOAI:10,Prüfbarkeit der Architektenschlußrechnung,"Zu den Anforderungen an die Prüfbarkeit der Architektenschlußrechnung, wenn der Auftraggeber selbst Architekt ist.",,Werkvertrag,Deubner
1574606,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,X-ZR-55/10,2011-08-30,MDR-2011-1415; WM-2012-0765,"LG Koblenz vom 09.02.2007,; OLG Koblenz vom 22.03.2010,",8-O-39/06; 12-U-354/07,BGB:241/2; BGB:311/2/1,"Anforderungen an das Bestehen eines grenzüberschreitenden
Interesses an einem öffentlichen Auftrag",,,SchuldrechtAT,Deubner
1577327,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,X-ZR-44/11,2011-11-02,,"OLG Hamburg vom 29.03.2011,; LG Hamburg vom 19.08.2010,",9-U-155/10; 334-O-250/09,BGB:651k/1; BGB:651k/3/2,Verpflichtung des Reiseveranstalters zur Absicherung des Reisenden auch für den Fall der Zahlungsunfähigkeit nach Ausübung eines zulässigerweise vorbehaltenen Rücktrittsrechts,,,Reisevertrag,Deubner
